year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss,Review score,display_category
2020,1,ID_BDG006,West Java 1,Bandung,Sukajadi,1059,58700545.79,0.389,0.153,0.0331,0.0009,0.0727,0.017,0.0198,0.0,0.2115,0.0,0.0198,0.0047,0.0,0.0,142494,133365,149729,241666,124640,139812,121188,0,145688,0,171249,174402,0,0,55437,0.353,0.0533,0.29460000000000003,0.22219999999999998,0,8.5,OYO Hotels
2020,1,ID_BDG006,West Java 1,Bandung,Sukajadi,1059,58700545.79,0.389,0.153,0.0331,0.0009,0.0727,0.017,0.0198,0.0,0.2115,0.0,0.0198,0.0047,0.0,0.0,142494,133365,149729,241666,124640,139812,121188,0,145688,0,171249,174402,0,0,55437,0.353,0.0533,0.29460000000000003,0.22219999999999998,0,10.0,OYO Hotels
2020,1,ID_BDG006,West Java 1,Bandung,Sukajadi,1059,58700545.79,0.389,0.153,0.0331,0.0009,0.0727,0.017,0.0198,0.0,0.2115,0.0,0.0198,0.0047,0.0,0.0,142494,133365,149729,241666,124640,139812,121188,0,145688,0,171249,174402,0,0,55437,0.353,0.0533,0.29460000000000003,0.22219999999999998,0,4.8,OYO Hotels
2020,1,ID_BDG006,West Java 1,Bandung,Sukajadi,1059,58700545.79,0.389,0.153,0.0331,0.0009,0.0727,0.017,0.0198,0.0,0.2115,0.0,0.0198,0.0047,0.0,0.0,142494,133365,149729,241666,124640,139812,121188,0,145688,0,171249,174402,0,0,55437,0.353,0.0533,0.29460000000000003,0.22219999999999998,0,6.4,OYO Hotels
2020,1,ID_BDG008,West Java 1,Kabupaten Bandung Barat,Lembang,369,33059189.85,0.4011,0.2791,0.0786,0.0352,0.1301,0.0136,0.0136,0.0054,0.0949,0.0,0.0108,0.0081,0.0081,0.0,223364,225070,246837,272550,201578,223871,180952,324794,206995,0,311991,172308,288643,0,89588,0.3253,0.0803,0.3635,0.2334,0,5.2,OYO Hotels
2020,1,ID_BDG008,West Java 1,Kabupaten Bandung Barat,Lembang,369,33059189.85,0.4011,0.2791,0.0786,0.0352,0.1301,0.0136,0.0136,0.0054,0.0949,0.0,0.0108,0.0081,0.0081,0.0,223364,225070,246837,272550,201578,223871,180952,324794,206995,0,311991,172308,288643,0,89588,0.3253,0.0803,0.3635,0.2334,0,8.5,OYO Hotels
2020,1,ID_BDG012,West Java 1,Bandung,Batununggal,1798,159266165.6,0.5317,0.3293,0.1246,0.1212,0.0484,0.0222,0.0067,0.005,0.1908,0.0017,0.0011,0.0072,0.0017,0.0,166597,176204,182131,162704,185164,190346,207210,173241,148761,150000,196875,195428,181680,0,88580,0.3179,0.0581,0.426,0.299,0,8.5,OYO Hotels
2020,1,ID_BDG012,West Java 1,Bandung,Batununggal,1798,159266165.6,0.5317,0.3293,0.1246,0.1212,0.0484,0.0222,0.0067,0.005,0.1908,0.0017,0.0011,0.0072,0.0017,0.0,166597,176204,182131,162704,185164,190346,207210,173241,148761,150000,196875,195428,181680,0,88580,0.3179,0.0581,0.426,0.299,0,6.7,OYO Hotels
2020,1,ID_BDG012,West Java 1,Bandung,Batununggal,1798,159266165.6,0.5317,0.3293,0.1246,0.1212,0.0484,0.0222,0.0067,0.005,0.1908,0.0017,0.0011,0.0072,0.0017,0.0,166597,176204,182131,162704,185164,190346,207210,173241,148761,150000,196875,195428,181680,0,88580,0.3179,0.0581,0.426,0.299,0,6.0,OYO Hotels
2020,1,ID_BDG012,West Java 1,Bandung,Batununggal,1798,159266165.6,0.5317,0.3293,0.1246,0.1212,0.0484,0.0222,0.0067,0.005,0.1908,0.0017,0.0011,0.0072,0.0017,0.0,166597,176204,182131,162704,185164,190346,207210,173241,148761,150000,196875,195428,181680,0,88580,0.3179,0.0581,0.426,0.299,0,9.7,OYO Hotels
