year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_BDG009,West Java 1,Bandung,Jatinangor,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG010,West Java 1,Bandung,Bandung Wetan,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG011,West Java 1,Bandung,Lengkong,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG012,West Java 1,Bandung,Batununggal,1798,########,53.17%,32.93%,12.46%,12.12%,4.84%,2.22%,0.67%,0.50%,19.08%,0.17%,0.11%,0.72%,0.17%,0.00%,"166,597","176,204","182,131","162,704","185,164","190,346","207,210","173,241","148,761","150,000","196,875","195,428","181,680",0,"88,580",31.79%,5.81%,42.60%,29.90%,0
2020,1,ID_BDG013,West Java 1,Bandung,Batununggal,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG014,West Java 1,Bandung,Lengkong,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG015,West Java 1,Bandung,Coblong,633,########,45.97%,31.12%,17.38%,4.42%,7.11%,0.63%,0.00%,1.26%,11.69%,0.32%,0.32%,0.32%,2.05%,0.16%,"251,454","257,034","271,407","231,500","240,950","251,990",0,"256,265","225,640","275,000","233,278","231,764","308,502","349,545","115,597",30.09%,6.93%,28.44%,15.44%,0
2020,1,ID_BDG016,West Java 1,Bandung,Sukajadi,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG017,West Java 1,Bandung,Sukajadi,1023,########,39.10%,22.09%,13.98%,1.56%,3.13%,1.96%,0.29%,0.00%,11.83%,0.78%,3.42%,0.29%,0.68%,0.00%,"221,914","219,348","215,049","235,468","217,297","255,305","235,295",0,"212,132","203,375","267,969","200,558","273,891",0,"86,770",20.82%,4.83%,21.38%,10.72%,0
2020,1,ID_BDG018,West Java 1,Bandung,Sumur Bandung,1178,########,47.37%,25.30%,10.95%,2.63%,7.89%,0.76%,2.63%,0.17%,19.52%,0.25%,0.51%,0.85%,0.93%,0.00%,"180,197","187,903","191,987","168,620","183,043","188,495","209,888","159,016","163,904","269,333","316,667","177,873","215,485",0,"85,357",30.66%,4.53%,-8.74%,-19.00%,########
2020,1,ID_BDG019,West Java 1,Bandung,Sukajadi,135,########,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,"734,826",0,0,0,0,0,0,0,0,0,"734,826",0,0,0,"734,826",0.74%,0.00%,117.97%,117.97%,0
2020,1,ID_BDG020,West Java 1,Bandung,Batununggal,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG021,West Java 1,Bandung,Sukajadi,217,########,58.06%,37.79%,7.83%,0.46%,27.65%,0.00%,0.46%,1.38%,13.82%,1.84%,3.69%,0.46%,0.46%,0.00%,"181,672","176,962","152,787","130,032","180,443",0,"144,893","270,669","199,623","170,000","168,448","70,000","293,547",0,"105,487",20.75%,0.00%,25.31%,12.85%,0
2020,1,ID_BDG022,West Java 1,Bandung,Isola,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG023,West Java 1,Bandung,Cibeunying Kaler,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG024,West Java 1,Bandung,Sukajadi,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0
2020,1,ID_BDG025,West Java 1,Bandung,Cidadap,4,########,900.00%,900.00%,150.00%,525.00%,0.00%,0.00%,225.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"329,969","329,969","224,269","356,074",0,0,"339,525",0,0,0,0,0,0,0,"2,969,720",77.78%,0.00%,27.84%,15.04%,0
2020,1,ID_BDG026,West Java 1,Bandung,Sukajadi,465,########,63.23%,24.73%,19.35%,1.29%,0.00%,1.72%,2.37%,0.00%,29.03%,0.65%,8.60%,0.22%,0.00%,0.00%,"199,054","217,095","210,753","268,631",0,"289,911","187,921",0,"181,651","147,000","210,646","166,050",0,0,"125,853",32.28%,1.35%,25.96%,18.20%,0
