year,month,oyo_id,hub,city,cluster,SRNs,GMV,OCC,OTA,TraveLoka,Booking.com,Agoda,Tiket.com,Pegipegi,Expedia,App,MM,Walk_In,Web,Direct,Rest,ARR,OTA.1,TraveLoka.1,Booking.com.1,Agoda.1,Tiket.com.1,Pegipegi.1,Expedia.1,App.1,MM.1,Walk_In.1,Web.1,Direct.1,Rest.1,Revpar,Cancellations,No_Shows,GTR,NTR,MG_Loss
2020,1,ID_MDN018,North Sumatra,Medan,Medan Area,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
2020,1,ID_MDN019,North Sumatra,Medan,Medan Barat,190,14698696.44,0.4526,0.1053,0.1,0.0,0.0,0.0053,0.0,0.0,0.0895,0.0053,0.2526,0.0,0.0,0.0,170927,166665,166265,0,0,174268,0,0,172142,170000,172292,0,0,0,77367,0.2232,0.0089,0.1709,0.128,0
2020,1,ID_MDN020,North Sumatra,Medan,Medan Petisah,714,67973882.85,0.6527,0.0784,0.0168,0.021,0.0168,0.0238,0.0,0.0,0.3655,0.1218,0.0784,0.0056,0.0,0.0028,145858,168578,158652,158394,186970,171588,0,0,145617,127541,151405,157165,0,160000,95196,0.2304,0.0538,-0.0891,-0.11449999999999999,6548741
2020,1,ID_MDN021,North Sumatra,Medan,Medan Selayang,4620,397910309.0,0.4725,0.1874,0.0924,0.0385,0.031,0.011,0.011,0.0022,0.2115,0.0545,0.0106,0.0037,0.0002,0.0045,182281,193368,199172,171145,192425,210877,203881,200318,166475,192300,244898,196349,158506,183810,86130,0.319,0.0427,-0.034,-0.11220000000000001,0
2020,1,ID_MDN022,North Sumatra,Medan,Medan Baru,2420,156590812.2,0.3591,0.1463,0.0103,0.0545,0.0583,0.0202,0.0025,0.0004,0.1921,0.0132,0.005,0.0017,0.0008,0.0,180192,177344,221565,171043,170865,188988,192410,156290,182525,150000,250000,190718,185000,0,64705,0.2853,0.0519,0.243,0.16760000000000003,0
2020,1,ID_MDN023,North Sumatra,Medan,Medan Baru,899,35027431.52,0.3226,0.129,0.0056,0.03,0.089,0.0044,0.0,0.0,0.1246,0.059,0.01,0.0,0.0,0.0,120777,126060,154071,132455,122084,127392,0,0,122746,98396,160000,0,0,0,38960,0.1989,0.0318,0.0015,-0.0802,0
2020,1,ID_MDN024,North Sumatra,Medan,Medan Baru,651,21396879.54,0.2627,0.0138,0.0031,0.0031,0.0061,0.0,0.0015,0.0,0.2074,0.0,0.0369,0.0031,0.0015,0.0,125115,100467,88216,101237,93564,0,151038,0,120461,0,162399,108673,113359,0,32864,0.3833,0.0467,0.335,0.32659999999999995,0
2020,1,ID_MDN025,North Sumatra,Medan,Medan Maimun,620,39424557.95,0.4371,0.2968,0.071,0.0048,0.1984,0.0097,0.0048,0.0016,0.0839,0.0548,0.0,0.0016,0.0,0.0,145477,152783,149633,152612,152834,186704,118760,190695,144175,107059,0,175000,0,0,63587,0.1799,0.0206,0.3097,0.16879999999999998,0
2020,1,ID_MDN026,North Sumatra,Medan,Medan Petisah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
2020,1,ID_MDN027,North Sumatra,Deli Serdang,Tanjung Morawa,310,29190873.45,0.6161,0.3065,0.0903,0.0677,0.1323,0.0097,0.0032,0.0032,0.271,0.0,0.0097,0.0129,0.0161,0.0,152839,158793,148836,164627,163163,154771,160991,145792,141290,0,250000,173257,159126,0,94169,0.2877,0.0421,0.2583,0.1589,0
